SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
206t2	206	t2	129	Live	NonNative	CPNWR38	WLE	Native	BAC	NO	YES	YES	7	2	One
207t0	207	t0	192	Live	NonNative	CPNWR38	WLE	Native	FUNBAC	NO	NO	YES	15	2	One
207t1	207	t1	192	Live	NonNative	CPNWR38	WLE	Native	FUNBAC	NO	NO	YES	15	2	One
207t2	207	t2	192	Live	NonNative	CPNWR38	WLE	Native	FUNBAC	NO	NO	YES	15	2	One
209t0	209	t0	235	Live	NonNative	CPNWR38	WLE	Native	OOM	YES	YES	NO	11	2	One
209t2	209	t2	235	Live	NonNative	CPNWR38	WLE	Native	OOM	YES	YES	NO	11	2	One
210t0	210	t0	219	Live	NonNative	CPNWR38	WLE	Native	BACOOM	NO	YES	NO	23	2	Three
210t1	210	t1	219	Live	NonNative	CPNWR38	WLE	Native	BACOOM	NO	YES	NO	23	2	One
210t2	210	t2	219	Live	NonNative	CPNWR38	WLE	Native	BACOOM	NO	YES	NO	23	2	Two
211t0	211	t0	180	Live	NonNative	CPNWR38	WLE	Native	FUNOOM	YES	NO	NO	19	2	One
211t2	211	t2	180	Live	NonNative	CPNWR38	WLE	Native	FUNOOM	YES	NO	NO	19	2	One
212t0	212	t0	244	Live	NonNative	CPNWR38	WLE	NonNative	BAC	NO	YES	YES	8	2	Two
212t1	212	t1	244	Live	NonNative	CPNWR38	WLE	NonNative	BAC	NO	YES	YES	8	2	Two
212t2	212	t2	244	Live	NonNative	CPNWR38	WLE	NonNative	BAC	NO	YES	YES	8	2	Two
215t0	215	t0	117	Live	NonNative	CPNWR38	WLE	NonNative	FUN	YES	NO	YES	4	2	One
215t2	215	t2	117	Live	NonNative	CPNWR38	WLE	NonNative	FUN	YES	NO	YES	4	2	One
216t0	216	t0	274	Live	NonNative	CPNWR38	WLE	NonNative	FUNBAC	NO	NO	YES	16	2	One
216t2	216	t2	274	Live	NonNative	CPNWR38	WLE	NonNative	FUNBAC	NO	NO	YES	16	2	One
218t0	218	t0	115	Live	NonNative	CPNWR38	WLE	NonNative	OOM	YES	YES	NO	12	2	One
218t2	218	t2	115	Live	NonNative	CPNWR38	WLE	NonNative	OOM	YES	YES	NO	12	2	One
219t0	219	t0	123	Live	NonNative	CPNWR38	WLE	NonNative	FUNOOM	YES	NO	NO	20	2	One
219t1	219	t1	123	Live	NonNative	CPNWR38	WLE	NonNative	FUNOOM	YES	NO	NO	20	2	One
219t2	219	t2	123	Live	NonNative	CPNWR38	WLE	NonNative	FUNOOM	YES	NO	NO	20	2	One
220t0	220	t0	211	Live	NonNative	CPNWR38	WLE	NonNative	NONE	YES	YES	YES	28	2	Two
220t1	220	t1	211	Live	NonNative	CPNWR38	WLE	NonNative	NONE	YES	YES	YES	28	2	Two
220t2	220	t2	211	Live	NonNative	CPNWR38	WLE	NonNative	NONE	YES	YES	YES	28	2	Two
222t0	222	t0	197	Live	NonNative	CPNWR38	WLE	NonNative	BACOOM	NO	YES	NO	24	2	One
222t2	222	t2	197	Live	NonNative	CPNWR38	WLE	NonNative	BACOOM	NO	YES	NO	24	2	One
224t0	224	t0	262	Sterile	NonNative	CPNWR38	WLE	Native	STERILE	YES	YES	YES	31	1	One
224t2	224	t2	262	Sterile	NonNative	CPNWR38	WLE	Native	STERILE	YES	YES	YES	31	1	One
225t0	225	t0	14	Sterile	NonNative	CPNWR38	WLE	NonNative	STERILE	YES	YES	YES	32	1	One
225t2	225	t2	14	Sterile	NonNative	CPNWR38	WLE	NonNative	STERILE	YES	YES	YES	32	1	One
226t0	226	t0	308	Live	NonNative	CPNWR39	WLE	Native	BACOOM	NO	YES	NO	23	3	One
